1: Wie haben sie geplant zu transkribieren | start: 0.0 sec., end: 8.6 sec.
2: jetzt direkt, wenn also Unterstützungsfunktion Mama das ist doch eben gut eingesetzt werden. Kann aber natürlich nicht alles umfassen soll und da würde gerne nur bisschen tiefer hinein geben zu sagen, ok, welche Tätigkeiten sollen needs digitalisiert werden, also asienforscher angesprochen, dass Ebene Roboter jetzt das Unterstützung zum Aufheben sein kann, aber dann entwickelt der Mensch bestimmte Tätigkeiten noch durch wird | start: 686.6 sec., end: 719.6 sec.

1: indirekt. Ganz schnell ein Niemand rechts rechts System aufzubauen auf machine learning Algorithmus behati Model Bauchweh habe ich wieder sehr hohen ethischen moralischen Stellenwert haben Automotiv Driving Force GT Frau niederer die drei Kinder die Probleme der Weisheit letzter Schluss ist und auf der andern Seite halbieren und ja immer, dass man diese Dinge im Griff haben glattes, irgendwie er nicht wirklich hast, du bisschen Bauchweh dabei, aber bei solche Themen und die werden zwar von vielen geglaubt verstanden zu werden, aber im Endeffekt wirklich im Griff haben, damit es eigentlich lieb und zum Glück haben wir immer nur relativ machine learning-based RE1 zumindest kenne nehme nur das was meine leider nein und Bänke zum Glück sehen und nicht selber drüber. Zalando ethisch moralische Themen, dass er vielleicht gefährlich aber bin ich davon überzeugt, dass sie sinnvoll einzusetzen kann. Nur dann wenn immer davor überlegt sich heute besonders will ich denn überhaupt machen, | start: 717.7 sec., end: 815.1 sec.

2: dann bin ich ja mal zu zur Nutzung, weil man muss hier wenn man Technologie nutzt sie auch verstehen, weil sie einfach angesprochen, dass man nur weil mal außerhalb der außerhalb der Arbeitszeit Arm Handys hängt, dass das noch lang mit Horst das machen wir gerade versteht, was man da macht oder Amman David jetzt wirklich am in Hinblick auf jugendliche oder eben auch was direkt aber sehr. Unterrichtsalltag mitkriegen von der Studenten oder so, wie sieht die anstellen in der Nutzung von technischen Applikationen macht ihnen da irgendwas Angst oder ist es was wir vielleicht das Bildungssystem ändern müsste oder ja zuerst | start: 806.3 sec., end: 863.7 sec.

1: bei uns Menschen mit Kommunikation bei die ich ich jetzt natürlich nicht Ausbildung zum Haustechnik ganz normal | start: 855.1 sec., end: 878.7 sec.

2: und ich | start: 876.5 sec., end: 880.2 sec.

1: frag dann die Leute irgendwo unterrichte dann noch mal MESZ, dann frag' immer so leute, wer von Euch hat denn von eurem WLAN Route zu Hause des default password geändert, wenn du bist die ganz low level dement und dann ihr jetzt im Moment Krieges nicht so stark mit nur wenn es sitzt, dann ist immer Ballistik 80% schau mir immer wenn man sie Korber Schnellzug straft hat, die zumindest mathestudent und wir haben die Nachbarn und relativ Kundenkontakt in der steht gerade knapp vor Matura, die haben jeden Tag Computer dabei. Nehme dieser solches granitbord kennen außer bezüglich xikixi Vichy Vichy überhaupt nichts, weil wenn sie komplett wird, dann ist es überhaupt ein Schlier geschweige denn auch nur einmal darüber nachzudenken, wollen wir aufgrund von fehlendem Wissen oder von Fellner avernes, was kann denn überhaupt alles passieren unerwartet eifelhome will, der schläft ja bekanntlich nie zum Erklären, der daher Instagram Account ist gehackt, worden sie heute nicht mehr die Kontrolle übernehmen kann, also so viel zu dem Thema. Technologie Verständnis ist das so ähnlich, wo sieht man, dass man sie auskennen aber so weit weg davon, die ist unheimlich natürlich auch diese Themen zu sein | start: 878.9 sec., end: 974.4 sec.

2: genau, | start: 972.6 sec., end: 975.8 sec.

1: also ist es ist zum Glück Nina Zeit, wo man so echter mit 386 GTA 6 rauskommen, weil ich glaube das mit der hat auch nur an Technologie Verständnis gezwungen worden, weil wenn du unter Durst nicht imstande gewesen bist faul um zu schreiben, dann hast Du hier ein super Game spielen können | start: 974.4 sec., end: 1002.2 sec.

2: und | start: 998.8 sec., end: 1007.8 sec.

1: somit Crack recht sehr sehr stark in der Nutzung in der unreflektierten Nutzung, | start: 1002.2 sec., end: 1015.5 sec.

2: weil sie sich | start: 1014.5 sec., end: 1016.7 sec.

1: dessen bewusst sein und natürlich wenn ich da Meetup bis sie in der Basis versteht, dann bleibe ich du ihm ja brutal schwarz rüber nachzudenken, was Grunewald spazieren Sie mir den Faktor caroobi Angst haben. Ja, ich habe total Angst | start: 1015.9 sec., end: 1039.3 sec.

2: konkretisieren wie vor was | start: 1034.0 sec., end: 1044.5 sec.

1: na ja immer die selbe selbe bei meinem Assistenten, wie kann ich am besten sein Unternehmen treffen vielleicht Entscheidungen in Unternehmen, vielleicht irgendwann die Entscheidung machine learning Algorithmus oder künstliche Intelligenz, wenn richtig schreiben können zu verwenden und z.b. Mitarbeiters Erektion zu betreiben bei dohvinci meisburg. Power bi und mitreißen copybase, die ist kaputt. Verstehst was dahinter ist trifft vielleicht falsche Entscheidungen und um diese Ernestinum es unbedingt nur um Technologie Anwendung geht dieses kritische Hinterfragen, glaube ich von Technologie und von Anwendungen Taste Lage ist, wo man gleich spezieller hinschauen müssen, | start: 1041.8 sec., end: 1115.5 sec.

2: das kritische Hinterfragen ist ja vielleicht was was man nicht mehr auf Technologie beziehen kann, sondern navigiere auf die Gesellschaft gibt's in den Hinblick am Änderungen diese beobachtet haben oder die Johann im Zusammenhang ja in Zukunft kommen werden. | start: 1105.9 sec., end: 1140.3 sec.

1: Das mit allem oder weniger in einer Richtung am Weg sein oder bis sie tittytainment damit jemand was zum Essen und wir gehen dann halt nur krank, dann passt ja eh alles immer das ist Larry, ob wir das Tor der fast so kleine braucht man die Matura diskutieren, oder und des ist Finja auf der anderen Seite denke ich immer wieder, wenn ich vielleicht nicht so viel drüber nachdenken würde, was denn? Alles schief läuft und dann vielleicht bis zum nächsten Zehner individuell geprägte Thema hängt jetzt ein Mieter mal mit Bildungsschicht zu eingang 1 dabei, vielleicht gar nicht unbedingt mit sozialem standing oder mit irgendwas anderem zusammenschreiben. Cooles wurstigkeitsgefühl de hinter Franks Sachen nicht weiß es nicht, wenn was nicht interessiert, weil sie vielleicht annähernd haben kritische. Bissendorf zu denken sollen, die nehmen halt einmal so wunderschöne Blase | start: 1139.4 sec., end: 1205.1 sec.

2: rauskommt | start: 1204.4 sec., end: 1207.4 sec.

1: und dann geh zu langweilig oder andere Meinung einzuholen und irgendwas und reflektieren dann wieder kritisch, aber jetzt aktuell ist ja mehr oder weniger blöderweise wird jeden Tag das ist Olaf auch irrsinnig fühlt der Leid gibt | start: 1205.1 sec., end: 1231.5 sec.

2: ja bei mir recht gut und dann | start: 1227.6 sec., end: 1243.7 sec.

1: kritisch in Personalunion. | start: 1239.3 sec., end: 1247.2 sec.

2: Ja, okay, | start: 1245.0 sec., end: 1252.6 sec.

1: vielleicht nämlich Führungsmodelle. | start: 1249.5 sec., end: 1260.7 sec.

2: Aber wer wäre Ihrer Meinung nach geeignet das demografische Suchtbegriff Altersgruppen mäßig oder auch sonst an einer Zeit Bank bei zu nehmen oder was? Gibt's dafür Grenzen im egoistisch und würde | start: 1259.3 sec., end: 1283.7 sec.

1: überhaupt keine Grenzen Zealand, dass jeder Mensch in jedem Alter angewiesen Beitrag für irgendeine Community wie auch immer geartetes leisten kann, Seite dann dieses klassische Thema Bildungsniveau oder irgendwas rein von vom können her groom jede aus Beitrag blödes Beispiel, sie macht nur Verwendungsweise kann sogar Wurstsemmel, wo ist Verkäuferinnen, ich kann sogar Wurstsemmel Scheiße machen und ich kann der wo ist immer gut machen, wenn die Wohnzimmer mit Kuchen bestellt wegen deiner Schule macht, dann geht's Manfred. Die knallen einfach die Bucht lieblos von der Maschine aber keiner drauf und dann die Gurke drauf quatschen Semmel drauf und bist du das Sportgeschäft auf der machen sollst du dann mit Diamant Joghurt machen nur Feinkost Verkäuferinnen oder Verkäufer sind sauber machen und die Gosche halten mit ihrem zwischen die zwei Hochbetten ein gelegentlicher Sozialamt Beitrag leisten zu einer Community. Die Frage ist Comedy mir zu der Community oder nicht gesagt, wussten, die Incentives dafür das hat wahrscheinlich wäre der Community beitreten oder oder ein Beitrag leisten, wenn ich in der Zukunft mehr erwartet, dass man doppelten der Ausdruck. Willst du mich immer noch keine Mali oder im Normalfall im privaten Umfeld hilf schämen 50 und wenn dann dreimal versucht anzurufen, weil wir zum Umzug draußen Terrakotta Reetdachhaus Erwartungshaltung, ich bin gewillt in Vorleistung zu gehen, wenn ich jetzt schon abschätzen Convair oder weniger Hey Doku nirgendwo vornherein sorgt brauche ich niemals in meinem Leben Hilfe, warum soll ich dann überhaupt arbeitet? Die Pazifismus muss dazu | start: 1278.8 sec., end: 1402.7 sec.

2: beitragen, wenn man das jetzt vergleicht mit Ehrenamt Raiffeisen Tirol das Ehrenamt ein sehr großer Bereich, wo viele Leute tätig sind, wie passt das zusammen? Weil die auch nicht direkt was zurück | start: 1402.2 sec., end: 1420.1 sec.

1: doch die City zurück zurück die Crema standing zurückkommt, wie auch immer. Tschuldigung, aber das geil halt immer, wenn ich bei der Rettung ist zuständig für jeden der bei der Arbeit bei der Feuerwehr ich oder oder bei der Durchsicht kommt, ganz viel Zeit, die da drauf gehört, aber ich glaube, die ist findet jeder für sich selber eine Motivationsfaktor. Warum madonna praktisch einzelunfall, warum der ehrenamtlich ausmacht und die glatten sind schon sehr sehr stark verbunden mit Prestige mit ansehen oder vielleicht auch nur mit der Hand vergessen, ich war noch nie bei einer | start: 1418.1 sec., end: 1478.9 sec.

2: Blaulichtorganisation | start: 1477.8 sec., end: 1481.6 sec.

1: aber immer noch nicht so weit gehen. Beide | start: 1478.9 sec., end: 1494.5 sec.

2: Gesellschafter | start: 1491.0 sec., end: 1501.6 sec.

1: spannendes Thema interessiert ihr z.b. Neue Studenten down ob ob ob ob man für Deko zu voll ist und macht dann am Nachmittag vollkommen freiwillig als Ehrenamt ist die giraffensprache junge Leute, wo sie überzeugen Sie bei der Vereinsmeier, falls die Frau bringt mehr dazu sagen Ehrenamt da brauche ich als | start: 1494.5 sec., end: 1527.8 sec.

2: Konstrukt nicht, aber trotzdem halten | start: 1526.5 sec., end: 1537.7 sec.

1: definitiv nicht einfach irgendwas eingetragen | start: 1536.1 sec., end: 1543.1 sec.

2: sehr gut dann wieder weiter gehen, aber wenn wir jetzt von einer Zeit ansprechen oder kinamiza of regional. Moment direkt gehen wen oder was braucht es um das am Leben zu erhalten | start: 1540.5 sec., end: 1565.5 sec.

1: Transparenz offene Kommunikation und die Landes muss es ist wichtig. Der Glaube ist das Mathäser transportiert was haben was hat das Individuum? Wenn i glavi zahle nur was einige davon gesagt, wenn ich selber was davon und darunter zu brechen auf auf mögliche Einsatzszenarien auch auf mögliche, wie wir das im konkreten Fall aber Transparenz und offene Kommunikation darüber was das bringen was machen konnte wirst funktionieren, wie ist denn | start: 1553.3 sec., end: 1599.0 sec.

2: die wichtigsten Punkte | start: 1598.7 sec., end: 1604.7 sec.

1: und du das Thema Vorleistungen zudem? Sinistra vertrauen, wenn ihr Leistung bringen, dass ihn das in zwei Joris gräßlin | start: 1600.1 sec., end: 1616.9 sec.

2: gibt, da gibt's ja schon bisschen verbrannt, der alte | start: 1616.3 sec., end: 1623.2 sec.

1: Glauben | start: 1622.9 sec., end: 1629.0 sec.

2: Ethnologie sicher muss das Ganze sein, bzw. Wie schützen Sie einen das bis jetzt einem Anwender, also wie wichtig wäre es einem Anwender, dass es sicher ist.Das technologischer Sicht | start: 1623.2 sec., end: 1645.5 sec.

1: warum gibt es auf der Welt den Facebook Account haben Sie die Sicherheit Yannick Rebsamen, dass man covid Infektionen tracking Walhall privacy Aber es gibt halt vielleicht unternehmen, wo wo das nicht voran voran gehst, also am Thema jetzt Datensicherheit iOS. Warum cool, wenn ich fange, meine eingepackte Stunden gelöscht werden, aber Heidi Security Fort Knox draus zu machen lange brauchen mein so Applikationen unbedingt dem Fach vom sechsjährigen bis hin zur acht geringen Aroma leicht bedient werden können, bislang war das nicht | start: 1638.8 sec., end: 1704.9 sec.

2: mit direkter feasibility geht statt doch alles immer gemacht, aber keine Fragen haben oder gib deinen Fischen irgendwas, was sie anfingen wollen was in 1. perfekt, dann genau eine Frage, vielleicht nur in Bezug auf Tiroler Unternehmen, wie würden Sie aktuell in der Situation jetzt vielleicht nicht spezifisch auf Corona aber generell ein vitales Unternehmen beschreiben, also, was braucht es damit ein Unternehmen Vitalis laufen kann und so weiter | start: 1703.4 sec., end: 1765.4 sec.

1: question, | start: 1755.5 sec., end: 1766.1 sec.

2: wie | start: 1765.4 sec., end: 1776.6 sec.

1: lang ist wichtigste was Unternehmungen brauchen ist ASIN in der Tätigkeit am besten von der peracense geprägt sein und dann in die Wenn ich diese faulen unten weiter zu tragen, wenn Leute intrinsisch motiviert sein an etwas beizutragen, dann haben wir diese Themen gornicki jetzt oder kriege jetzt mehr als mein Nachbar im Moment riesen große Glück, dass sie vielleicht selber beeinflusst, haben Studierende fragen, ob sie bitte Pommes in der Forschungsgruppe ohne Entgelt dafür zu bekommen mit arbeiten dürfen und und irgendwie Thema, wenn jetzt ein bisschen lang können, wurde diese E-Mail die Versicherung nehmen nicht Samsung Community wieder ne geht diese Community identifizieren und motivieren dazu beizutragen, dann unterm Strich ist jetzt vielleicht sogar Wurst der Welt zum Monatsende 100er mehr oder weniger viel Krieg? Intrinsisch motivierten auch gleich | start: 1766.1 sec., end: 1854.8 sec.

2: im ganzen Zusammenhang jetzt hernehmen oder sonstiges, wie sollte vielleicht ein Unternehmen bei uns in Tirol strukturiert sein soll maraweg das noch die Sterne greifen, jetzt sind mit lich und sorgen je mir machen genau des oder bzw, Dass vielleicht da gar nicht so oft können wir jetzt davon ausgehen. Ok Vitalis Unternehmen braucht eine Vision wo es hingeht das Müllers Wickrath die Community aufbauen kann und die Arbeitnehmer des gern machen. | start: 1850.9 sec., end: 1885.4 sec.

1: Ja, ich bring dich für nie. Die Interaktivität die Interpreten Royal sandals liegt damit verbunden mit Wachstum ein riesengroßer jeder mehr nehmen. Will deswegen auch nicht mehr funktionieren. Wachstumsraten zu will musik ob haben immer tschuldigung du back to basics unweigerlich musst du irgendwas muss immer total in Koppl Erfolg oder oder willst Du wissen zu zu den Sternen greifen oder irgendetwas mir wahrscheinlich soviel ihr wart Wendy in Tirol an Handwerker Krieger, der nie zu die Sterne greif zu nur für nur mein Tisch und meine Installationen Import noch sehr günstigen Preis und vielleicht sogar mit der Möglichkeit der Dendriten da mit der Nummer gibt da ein behaltet das bedeutet mir sein wieder bei unserem buretto, egal, wo sie noch solange, die ist gut mache ich nicht noch die Sterne greifen Missklang Carmel wirklich nur | start: 1884.0 sec., end: 1963.8 sec.

2: zu machen, wenn | start: 1963.6 sec., end: 1966.6 sec.

1: ich Goldring über Preiserhöhungen geht auch | start: 1964.2 sec., end: 1977.5 sec.

2: sehr viel. Wahres dran. Ja, ganz | start: 1972.8 sec., end: 1983.3 sec.

1: Brille auf und für mich der ganze Weg einfach nur kontinuierliche Verbesserung funktioniert leider nicht zu große Schritte schaff Martini das ganze zu verdauen | start: 1979.1 sec., end: 2004.9 sec.

2: die erste Frage jetzt nur bissl, aber auf Bildung und vielleicht bis Individualität Diskussion abgezählt, wie stehen Sie zu der Aussage, dass jeder des lernen muss, was die Gesellschaft braucht, | start: 1995.7 sec., end: 2025.9 sec.

1: das jeden? Braucht findet ein Blödsinn bringt sie behält die Lage ist und jeder wissen frei sind das zu lange dürfen warten interessiert, was ihr wart dabei Duden einfach GT stehst mir gezwungenermaßen erweitern, was mir passiert, dass er stark mit dem Thema anlernen microlearning auseinander gehabt und der Begriff ist ja eh schon mehrfach aufgelegten hin und her. Hab den Terminus knowledge Nuggets den Niedergang verwende für den im Moment dabei bin zu prägen, weil nämlich wie wir glauben ja mit allen Technologien, die man zur Verfügung haben das Lernen irgendwo in Nürnberg Teilnehmer fancy nur mehr mega Nummer super super spannend interaktiven. Wurst wird Google, wo soll es sein? Muss aber auf der anderen Seite zu. Goldnuggets denken die Reportage über die Australier, die wahnsinnige die Sicherheitsforschung studieren und gar nicht mehr sagen hey Scheiße, du musst einfach mal was leisten, weil ohne was zu dumm, dass du nicht lernst das was wir versuchen immer was Neues zu lernen als nur durch Tippen und irgendwas zu verkaufen da bist muss einfach immer noch mal Apennin di assenso spletnik hänge, ich bin total am After von sämtlichen Bulimie wissen Aktionen und unter dem Unterricht sowie wissen oder oder überschreitet. Nur wo es unbedingt sein muss woanders gerne. So geht's mir auch Zusammenhänge Verständnis und prägen will, weil das glaube ich meinte brauchen und Zusammenhänge. Entscheiden, wo Sie interessiert mit den US Militär und deshalb auf der einen Seite das auf der anderen Seite, aber bin ich schon einer Meinung oder irgendwas ist Grundwissen in der Volksschule Hauptschule, dass ich nicht immer lustig aber mit Druck man irgendwas durchzubeißen shotacon | start: 2020.2 sec., end: 2176.4 sec.

2: finde, | start: 2175.8 sec., end: 2184.8 sec.

1: in der in in der Hauptschule mit Folien verteidigen außer ich sitze in meinem Umfeld. Ja, da gibt's heute Manfred leicher und machen wir aber schon zu sagen. Ok, also gewisses Level an Know-How unknowledge soll dir der mitbringen, ob ihr gesellschaftliches war. Nicht, woher diese primär Wetter. Kevin soll aber eben zusammen hey ja irgendwo was zu wissen und was zu lernen ist nicht nur auf dem vincia von Wikileaks drauf zu klicken, wenn man richtig interpretieren zu können. | start: 2176.4 sec., end: 2235.3 sec.

2: Ja genau in die Richtung Leistungsgesellschaft soll halt nicht ganz Abkommen, weil wenn alle davon ausgehen, dass man maximal 20 Stunden arbeiten hat gewisse Dinge wahrscheinlich erledigt. War sein | start: 2224.1 sec., end: 2249.3 sec.

1: gewisse Dinge erledigt und ich bin mir nicht sicher, ob Generationen schafft Jörgi aus unseren Köpfen zu streichen. Lied der serbischen unbedingt sitzen hat können den ganzen Tag die Motivation mehr haben, der größere der bitte retikuläres einzuholen video mit der werden von der Irene oder Evolution | start: 2247.6 sec., end: 2304.9 sec.

2: genau ja, dann würde jetzt gleich zu der letzten Frage einfach übergehen nutzen. Sie sharing economy Angebote, was halten Sie generell davon | start: 2301.5 sec., end: 2328.6 sec.

1: Gib mir mal eine konkrete Wrestler | start: 2324.9 sec., end: 2330.4 sec.

2: sie im Prinzip von jetzt hergehen und sagen die E-Scooter auch Airbnb was jetzt eines dementen Beispiele Sander war halt immer je nachdem, wie man's macht oder Carsharing wirklich auf persönlichen Bereich bezogen sie unterschieden zwischen organisiert gewinnorientiert oder sharing im Sinne von Nachbarschaftshilfe oder Gemeinschaft. | start: 2330.2 sec., end: 2359.8 sec.

1: Ja, ok sharing things I at the diese ganzen open innovation Schichten diese ganze Geschichte kleine sammeln Geld für ein großes Firma practicing Madita drunter | start: 2356.2 sec., end: 2373.1 sec.

2: drunter segne und dann geht's direkt vielleicht dahin die Open Systematik hinein, also genau identifiziert Weg in die drei Schritte sozusagen. | start: 2371.0 sec., end: 2385.9 sec.

