2: danke | start: 0.0sec., end: 6.2sec.
1: ausreichend einkalkuliert worden und das Wandern nicht die die Ressourcen und da will er dort ist umzusetzen. Was denn, was bräuchtest dann vielleicht um so sei Dank auch umzusetzen, bzw. Wer kann das am Leben erhalten will, ich vermute es wird aus organisatorischer Sicht im Persischen gesagt haben ressourcentechnisch viel eingeplant werden müssen, was müsste man denn da Bedenken um das zu realisieren, es muss um mal zu nächster | start: 352.0sec., end: 386.9sec.

2: Personen geben, die | start: 386.4sec., end: 390.0sec.

1: da dahinter steht und dich und sich was am Main vorantreibt. Ja, das jetzt Person ist, die bezahlt wird dafür oder das aus eigenen eigenem Interesse privater Initiative macht, das glaube ich gar nicht so wichtig. Aber es muss jemanden geben, der die Zeit investiert und der einfach als Person da mal den Anstoß | start: 388.1sec., end: 417.9sec.

2: setzen kann und | start: 414.0sec., end: 420.8sec.

1: diese Person muss ihm dann ATA Zugriff, was gewisse Ressourcen eben haben, um dies umzusetzen und mach dann Plan einfach und da muss mehr dahinter stehende alles, wenn man jetzt vielleicht auf die Teilnehmer von zeitbanken übergehen ihr was ist ansatzweise so extrem tief drinnen gewesen, aber wenn sie jetzt vorstellen, es gibt Teilnehmer, die die Informationen die die die | start: 419.9sec., end: 462.8sec.

2: Zeit auf Zeit | start: 459.9sec., end: 463.7sec.

1: beim Konsumieren von anderen. Und weil niemand die eben ihre Zeit zur Verfügung stellen in Form von gewissen Talent oder eine gewisse Dienstleistung bisschen machen können, was sind die Voraussetzungen für die aktive bzw. Die Teilnehmer, dass man Dateien nimmt, also, vielleicht darf sie selber bezogen, warum sie da teilnehmen würden, oder warum sie was anbieten würden? Ja ich habe müssen wir grundsätzlich das Gefühl haben, dass mal was beitragen kann | start: 463.5sec., end: 502.9sec.

2: und | start: 497.7sec., end: 504.8sec.

1: man muss auch bereit sein zu nehmen, also diese Zeiten diese auf ältere Leute konzentrieren haben dann oft das Problem, dass sie die Zielgruppe eigentlich sehr erschwert getan hat immer um Hilfe zu bitten oder soll das Event in Anspruch zu? Das ist mir damals erklärt worden mit dieser andere Generation Nachkriegsgeneration oder nur zwischenkrieg Geburtsjahrgänge die Rolle selbst machen müssen und denen die Selbständigkeit des Brüste gut ist genau und dass sie hört dann auf Schwierigkeiten und dann noch die von mir sogar muss noch mal irgendwie auch eine Möglichkeit schaffen und das irgendwie scheinlich richtig Rayman so Impulse setzen, damit dies eben ein Anspruch genommen wird und auf der anderen Seite neben die Leute jedes Gefühl haben, was beitragen zu können, da muss man vielleicht auch irgendwie | start: 502.9sec., end: 579.2sec.

2: das von dem | start: 576.3sec., end: 581.8sec.

1: von dem Vermerk Bahn | start: 579.6sec., end: 584.9sec.

2: skills. | start: 583.3sec., end: 585.5sec.

1: Dima haben könnte abgehen und das vielleicht ein bissel anders denken. Ja und das muss natürlich auch | start: 585.1sec., end: 595.8sec.

2: irgendwie der Markt zu weit | start: 593.7sec., end: 601.4sec.

1: sichtbar sein oder das Angebot und die Nachfrage so wird sichtbar sein, dass sie irgendwie war es so gibt Dinge, die ich auch möchte genau, weil wenigstens manche haben das Problem dann halt | start: 599.1sec., end: 619.6sec.

2: ja ideologisch natürlich oder hat | start: 616.5sec., end: 623.7sec.

1: philosophisch relativ alternativ ausgerichtet und die haben dann natürlich Teilnehmer die vielleicht irgendwelche esoterischen Massagen anbieten und irgendwie sehr viel von dem gibt aber andere Hilfeleistungen oder andere. Unterstützungen Dienstleistungen oder Wasser immer kommt dann im Netto vor und dann hat man vielleicht auf das kriegen auch | start: 621.9sec., end: 654.9sec.

2: eigentlich gar nicht und | start: 653.2sec., end: 657.8sec.

1: zieht sie dann wieder zurück. Es ist halt so transparent und die Vielfältigkeit des Angebots muss gegeben sein oder der die Vielfältigkeit des Angebots ist ist auf jeden Fall wichtiger | start: 656.3sec., end: 672.0sec.

2: ja, sehr cool, | start: 669.5sec., end: 674.4sec.

1: dann will ich ja weitergehen, welche Altersgruppen könnten denn für zwei Gruppen relevant sein beschränkt sich jetzt wirklich nur auf ältere oder muss sie doch was anderes auch vorstellen. | start: 672.7sec., end: 687.7sec.

2: Nein, klappt | start: 683.6sec., end: 689.5sec.

1: das, durchaus auf alle Altersgruppen aus, denen? Man muss das Wetter dementsprechend konzipieren und anpassen. es ist bitte zuhört für ältere Menschen an, weil die wird oft einfach mehr Zeit haben, was man will, aber | start: 687.9sec., end: 713.8sec.

2: wenn man jetzt | start: 711.0sec., end: 716.1sec.

1: so dran denkt, dass dass ihr Nivea Programm auch wäre Langzeitarbeitslose einzubinden oder so für Guido eigentlich kein Grund, warum man at jüngere Menschen mit einbeziehen könnte, die dann im muss anderes dazu bringen, der dem drum dass man das mit denen aus was bietet heute in ihrer Jugend oder wenn Sie die Möglichkeit haben darin einzuzahlen und zeigt Polster aufbauen und den dann wenn sie ihn selber brauchen nutzen, das ist der japanische Idee oder | start: 714.1sec., end: 758.3sec.

2: genau | start: 756.7sec., end: 760.3sec.

1: ja, das kann man sich vorstellen. Die Idee gibt's ja schon lange und das war auch einer dieser das war auch die zentrale Idee für diese Zeit Bank, die in dem Projekt beteiligt war angedacht war wurde Thomas meiner Meinung nach schon nicht so gut durchdacht, weil Dann wird dir das Commitment bestehende mir sind aber wenn ich so zionen dass sie das wirklich dann weiter treiben haben, dass Roy Black das Fenster auf und dann ist es aus und der Polster ist zu voll, aber du kannst es irgendwie nicht mehr benutzen. Ja, das ist das ist dann schon ja man ich glaube in Japan funktioniert ja so genau, was sie disconet. | start: 758.3sec., end: 811.0sec.

2: Grundsätzlich | start: 805.5sec., end: 813.7sec.

1: glaube ich schon, dass für das für den Normalbürger die haben uns ja für | start: 811.0sec., end: 822.1sec.

2: Unsicherheit dahinter | start: 821.5sec., end: 828.7sec.

1: wichtig ist, dass die dass man die Sicherheit hat und ade dass man weiß, dass das Kontingent immer da bleib. Das mal das was für hoch, also Jonas weckt einschätzen könnte von der Wichtigkeit. Hab | start: 824.7sec., end: 848.2sec.

2: ja schon | start: 846.4sec., end: 850.3sec.

1: also vor allem wenn es etwas ist, mit dem man diese Zeit Bangkok bewirbt, wenn wir jetzt machen sie damit und mal betont er so dieses | start: 848.6sec., end: 861.6sec.

2: diesen | start: 860.3sec., end: 863.6sec.

1: sofortigen sozialen Aspekt und diese karitative Komponente, wo man so gibt etwas von sich in addition elle ernannt wird, dann ist es was anderes, als wenn man das so ebenso RS | start: 861.6sec., end: 878.4sec.

2: Spa System oder hat ja | start: 876.4sec., end: 881.3sec.

1: Versicherungen oder oder so was | start: 880.4sec., end: 884.2sec.

2: bewirkt, | start: 883.0sec., end: 886.2sec.

1: dann will ich im Ernst ein Haken sind sie schon mal ehrenamtlich tätig gewesen. Zur Ehrenamt vielleicht auch in mit in Kombination mit zeitbanken einen Beitrag leisten, weil vorhin in Österreich gibt's ja ganz viele ehrenamtliche Tätigkeiten und Vereine und kann man das aus ihrer Sicht auch nutzen, um das in der Zeit Bank Modell zu integrieren. Ja, ich finde das ehrlich gesagt, aber sie hat trick die Welt des Ehrenamtes für den wieso er gibt mir auch etwas von sich selbst und verlange nichts dafür und Bernard seit wann gibt es wird so, dass das muss eben dann doch so erhoffen würde, dass man dann selbst wieder konsumiert und dass mir das sozusagen ja alternativwährung einfach irgendwie benutzt so ist neben System zum normalen Markt. Will mir heute anders. Austauschen tauschen kann und dass hierfür zugreifbar, was ist, das Gefühl und im | start: 884.2sec., end: 973.7sec.

2: Tausch Kreis | start: 971.9sec., end: 976.0sec.

1: covid und vielleicht Windjammer Hüftbein Wohnzimmer ausmachen, muss man wirtschaften wird andererseits gibt's gibt's da sowieso irgendwie da finden wir dann wahrscheinlich irgendwie einmal die Balance bei den angebotenen und Leistungen, weil es wird ja sollten. Sendest du möchte Anwalt irgend wieder Rechtsberatung anbietet oder so im Ausgleich gegen das irgendwer Rasen wird könnten uns ja vorstellen, dass er nicht so oft oder so genau. Irgendwie aus dem Tauschkreis und gibt dafür heute Beratungsstunde er wieder normal 300 € verlangen würde, so, dass ein unschuldiges sowie die Grenzen noch zusammen, ich weiß jetzt gar nichts mehr interessant, könnten Sie vielleicht ein bisschen konkretisieren eben jetzt Anwalt Anwalt grand-dessert leisten, dass es je ein Gärtner und stellst, was wäre denn so jetzt demographisch gesehen oder Einkommens technische direkt sind eben in dem Bereich, was wären so die Hauptzielgruppe von einer Zeitbank | start: 974.4sec., end: 1060.3sec.

2: man es jetzt in | start: 1056.4sec., end: 1063.0sec.

1: engeren Begriff derzeit Bank oder man uns ja die Tauschkreise, die wird irgendwie indische indisches System haben eben gerade wird jetzt zu sehr auf Alter. Währung Indien Rundreise und zeitbanken, also wirklich um den eins zu eins Tausch geht im Prinzip doch in die eigentlich interessante Zielgruppe, natürlich | start: 1060.8sec., end: 1097.0sec.

2: wäre super, wenn man | start: 1094.9sec., end: 1100.0sec.

1: wenn man alle sozialen Schichten und Bildungsgruppen und Milieus irgendwie einbinden würde, davor wird es wahrscheinlich am meisten profitieren, aber wir heute besonders irgendwie stärken und im powern möchte wir haben heute nach der Lektüre Gruppen niedrigere Bildungsschicht oder geringere Einkommen Rotation hintergrund dessen | start: 1097.8sec., end: 1132.0sec.

2: oft. | start: 1130.7sec., end: 1137.6sec.

1: Vielleicht noch weitergehen direkt schon zum Arbeitsmarkt | start: 1136.4sec., end: 1145.1sec.

2: gibt es | start: 1140.7sec., end: 1146.4sec.

1: die Möglichkeiten denkbar, dass eben mir sind zwar schon angesprochen, dass Langzeitarbeitslose auch inside man Knete Creed werden könnten. Gibt's da sonst noch irgendwelche Veränderungen aktuell am Arbeitsmarkt? Wasmada benutzen, könnte dein eigentliches Ja und anders auf ihre Sicht. Was gibt es aktuell auf dem Arbeitsmarkt für Veränderungen und was wird sich in Zukunft | start: 1145.4sec., end: 1191.4sec.

2: verändern? | start: 1189.1sec., end: 1199.6sec.

1: Ja, was neues Konisation, aber was mir auffällt, oder was was ich generell glaube, | start: 1196.4sec., end: 1205.8sec.

2: dass das finde ich gelungen, es gibt es eben diese | start: 1204.7sec., end: 1214.1sec.

1: diese Aufweichung der traditionellen | start: 1208.6sec., end: 1219.8sec.

2: Arbeit | start: 1217.2sec., end: 1223.0sec.

1: erwerbsmodelle den unbefristete 40 Stunden | start: 1219.8sec., end: 1230.6sec.

2: Stelle. Ja ist ihr also | start: 1228.1sec., end: 1239.6sec.

1: nimm es so leicht zu bekommen wahrscheinlich mir gesagt. Bin ja immer befristet, obwohl ich eigentlich hochgebildet wäre, also von dem | start: 1236.6sec., end: 1252.9sec.

2: dann ja. | start: 1250.0sec., end: 1257.1sec.

1: Arbeiter mir immer öfter dieses easyleasing stellen Saturn immer relativ prekär. | start: 1256.4sec., end: 1267.5sec.

2: Und | start: 1264.7sec., end: 1268.4sec.

1: große Hoffnung wäre irgendwer die Arbeitszeitverkürzung, die ist jetzt zwar Modelle erwähnt, die er vom Arbeitgeber ausgehen gibt's da jetzt ebenso wie die Arbeitszeitverkürzung auch Trends von Arbeitnehmerseite, was man sich wünscht, weil es ebenso traditionelle Modelle aber auch weichen will man nur den typischen 40 Stunden Job, der unbefristet ist, das war erst wenn man dann ja es ist, also ich glaube das von Arbeitnehmerseite sehr oder Schulter Wunsch toys in noch | start: 1267.5sec., end: 1310.7sec.

2: kürzerer | start: 1309.3sec., end: 1313.0sec.

1: mal kürzere Arbeitswoche muss mal schauen, | start: 1310.7sec., end: 1318.2sec.

2: wie das mit | start: 1316.4sec., end: 1322.7sec.

1: Gehaltskürzungen dann oder heute. Gib dem Mikrozensus Befragung Statistik durchgeführt wird, da wird die Mogg Vogt ziemlich viel Fragen mit wie viel Arbeitsstunden mitmachen und dann heute würden Sie gerne mehr oder weniger arbeiten und dann und wenn wenn sie dafür aber weniger oder mehr Geld bekommen würden, es ist leider nicht entkoppelt, aber was er nicht die Datennutzung genau an und Flexibilisierung ist, natürlich ein zweischneidiges Schwert oder was setzt die Flexibilisierung für den Arbeitgeber, der dann möglichst wenig reguliert möchte aber Flexibilisierung auch für den Arbeitnehmer wurden irgendwie Homeoffice. Und für den Arbeitnehmer die Arbeitnehmerin angepasste Arbeitszeitmodelle | start: 1318.5sec., end: 1397.0sec.

2: oder | start: 1393.1sec., end: 1399.2sec.

1: verändert sich ja schon einiges hoffentlich, also manche Firmen springen ja schon sehr auf den Home, | start: 1397.0sec., end: 1410.4sec.

2: Office, Paddington Home Office | start: 1408.1sec., end: 1412.9sec.

1: und andere dagegen immer nur wieder in die Normalität zurückkehren kann und alle wieder im Büro sitzen müssen, dann will ich aber gleich beim Arzt macht weiter machen, also bisschen in Hinblick auf die Technologisierung gibt's Tätigkeiten, die nicht digitalisiert werden können, bzw. Nicht die Idee digitalisiert werden sollten aufgelegte freie Viertel. Pflegehinweis war so I am told immer 1 Wort Welt ist einfach Stau dieser sozialer Aspekt | start: 1411.3sec., end: 1461.4sec.

2: sehr wichtig ist | start: 1459.6sec., end: 1463.8sec.

1: unabhängig davon, das ist einfach sehr schwierig wäre das irgendwie wollte technologisieren Amazon Kamera verschiedene Arten denken oder ist das noch Leute mit Robotern pflegen lassen oder widerhallen, sie hat selber die Pflegeorganisationen kann man wahrscheinlich die ganze Dokumentationsarbeit, wo sie nicht übel an vielleicht sogar Arbeitserleichterungen für das Pflegepersonal | start: 1462.0sec., end: 1496.0sec.

2: schaffen, aber der wird ist das. | start: 1495.1sec., end: 1503.3sec.

1: Das doch nie, dass das da nettes Ziel sein sollte irgendwie dazu | start: 1501.9sec., end: 1509.0sec.

2: komplett zu ersetzen. Vielleicht anschließend die | start: 1506.3sec., end: 1514.1sec.

1: Frage was was kann digitalisiert werden, was soll es auch so, was können wir klare Unterstützung bringen? | start: 1513.6sec., end: 1528.5sec.

2: Soll | start: 1524.4sec., end: 1528.6sec.

1: ist es irgendwie schwierig zu denken, weil wenn wenn du mir das so vorstellen, stell mir heute irgendwie vor, dass sie irgendwie Arbeit ersetzt wird durch irgendein digital digitalen Protest die Unterstützung. Was machen Sie eigentlich alles was mit Technologie irgendwie unterstützt wird an Sabrina vielleicht auf die Frage hinter der Frage, mir geht's darum herauszufinden, ob man primär Technologie als Unterstützung sieht oder eben die sind jetzt schon cocksucker ok, sich schwierig zu denken, weil es wird dir dann immer was dafür dafür ersetzt und da ist halt die Frage ist es eher der Trend dahin Sachen zuerst setzen oder zu unterstützen oder was wäre ihre Sicht MBA sinnvoll zu machen? Meine kann jetzt eben ein Spiel Fließbandarbeiter relativ gut mit Roboter ersetzen. Die Frage ist halt nur wie sinnvolle CBC. Ab wann ist nicht mehr sinnvoll ist, | start: 1528.5sec., end: 1612.3sec.

2: das | start: 1609.3sec., end: 1612.4sec.

1: hat dann immer Auswirkungen natürlich und wird der Arbeit in | start: 1612.3sec., end: 1623.4sec.

2: der Lebensmittelindustrie und fühlt fühlt so | start: 1620.6sec., end: 1635.3sec.

1: Lebensmittel Mischungen, ob der Arbeit für mit Maschinen und ich war immer der Meinung sieben Jahrhunderte Widerstand Idee, dass dir das wird schlecht ist und wenn das automatisierte mein erster wird, das der Tanja den Arbeitsplatz verlieren und kann größeren sozialen benefit aus. Also kann sozialen benefits eben nur Profit für den Unternehmer, aber der hat dann also ein Foto kommt der neue Maschine und ihre Mutter und irgendwie geht's wie geht's dir denn mit was verbindest du dein Werkzeug? Naja, und er war irgendwie trotzdem Maschinen bedienen. | start: 1633.2sec., end: 1699.8sec.

2: Ja, also | start: 1692.4sec., end: 1702.0sec.

1: das geht ja in dem Moment Digitalisierung und Automatisierung gabelschuhe für Vorteile, dass man so körperlich schwieriger aber das majestic mühsame Jobs irgendwelche Buchhalter Tätigkeiten, die man heute ziemlich Stimme relativ | start: 1700.1sec., end: 1724.5sec.

2: einfach mit dem System. | start: 1724.1sec., end: 1730.5sec.

1: Ersetzen kann | start: 1727.5sec., end: 1733.9sec.

2: schicke ich auch Vorteile oder dass sie | start: 1730.7sec., end: 1736.6sec.

1: so so mühsam | start: 1735.2sec., end: 1739.0sec.

2: Jobs im unterstützt werden. Bin nicht | start: 1737.6sec., end: 1742.8sec.

1: dafür, dass die Mädchen die diese Arbeit Vollmacht um auf der Straße sitzen, sondern kann womöglich Arbeitslosenunterstützung drängen oder heute irgendwie allgemein. Er muss nur erst jetzt werden und dann vielleicht ein soziales amontis den Bereich Soziales angesprochen haben. Gibt's eigentlich in unserer aktuellen Gesellschaft und Bildungswelt Pflaster sogar jetzt in Hinblick auf Krone, weil es ja einen gewissen Dingen Horror Beschleuniger bzw. Auch verlangsamer gibt's da irgendwelche prägnanten Veränderungen oder auch in Zukunft, was sie sagen, wie es mir zu verändern oder verändern müssen, also sie wollen wissen, ob ob sie durch Gerona Doch generell generell in der Gesellschaft. Irgendwas gibt was ihnen aufzunehmen, was sie verändert oder eine Bildungswelt, was sie verändert und was oder was sich auch verändern muss in Zukunft ersetzt einfach nur generell auf digitale Ausbildungen oder die eigene Identität Anonymität oder oder auch Gesellschaftsformen selber mir vorher schon noch mal ganz kurz, also Gesellschaftsvertrag Generationenvertrag bislang gesprochen ist es noch was was da ist oder nicht? Und in welche Richtung könnte das gehen? Oder geht's | start: 1742.5sec., end: 1847.3sec.

2: aktuellsten | start: 1846.6sec., end: 1853.8sec.

1: gern einfach mal ins Blaue hinein reden und zu noch? Ja, was die Kunst was er sozialwissenschaftliche Perspektive interessant find sind ist sie sind die Auswirkungen der sozialen Medien alles mögliche, also im Privat Privatleben Beziehungen professionelle Entwicklung, du bist aber jetzt nicht so ein kleiner minimaler Aspekt eigentlich ja gleich sogar schon ein Haken, soziale Medien werden hier von euch nutzt wie sehr. Glauben Sie, dass materno LOGI affin sein muss, um das zu nutzen bzw. Nutzen des die Leute nur mehr oder wissen sie aber sie da machen? Ja, ich habe grundsätzlich diesmal oft genauso Technologie Erwin Siemers heute braucht also man kann im Grunde hätte mich genau der | start: 1847.3sec., end: 1942.3sec.

2: ist | start: 1942.0sec., end: 1944.0sec.

1: was man können. Muss um das zu tun, was man tun will. Er ja, das ist egal wir sogar irgendwie belegt das Gefühl. Also, dass diese große Auswirkung hat, das den Willen der Menschen den Umgang mit diesen Dingen | start: 1942.3sec., end: 1970.8sec.

2: zu lernen, | start: 1968.9sec., end: 1973.5sec.

1: das ist von der technologischen | start: 1971.3sec., end: 1976.4sec.

2: oder? Kompetenz | start: 1975.0sec., end: 1979.3sec.

1: von der Renntechnik Technik Kompetenzen | start: 1978.9sec., end: 1984.6sec.

2: für die | start: 1982.8sec., end: 1988.0sec.

1: Medienkompetenz sodass oder auf Englisch gibt's doch nicht, aber du bist aber du siehst, dass man einfach irgendwie | start: 1984.6sec., end: 1999.0sec.

2: ja digitale oder | start: 1996.2sec., end: 2003.2sec.

1: die Medienkompetenz hat, dass mir einfach was welche Informationen gibt man Preis, was bedeutet, dass das alles preisgibt, was bedeuten die lese diese Informationen Diele auf mich ein riesen über die sozialen Medien sondervig zwei unterschiedliche Sachen, also | start: 2002.1sec., end: 2026.4sec.

2: Mama ist | start: 2024.1sec., end: 2026.7sec.

1: denn jetzt von sich aus Technologie auf ihn sauer, um soziale Medien zu nutzen und muss nur irgendwie einen persönlichen Nutzen daraus. Und dann kann man auch mal wischen Sie diese Katze, dann haben wir schon den Zugang und dann hat es aber noch nicht, dass man für sich selbst und für andere hätte müsste verantwortungsbewusst damit umgeht mit drin, die man selber kannst du mir und | start: 2026.5sec., end: 2061.6sec.

2: lacht er ganz kurz eine eine Quertraverse | start: 2058.9sec., end: 2064.4sec.

1: zeitbanken, wie wichtig ist dann auch der persönlichen Nutzen aus Zeitmangel bzw. Ist es auch wichtig, dass man das so einfach wie möglich bedienen kann, um einen Nutzen daraus zu ziehen zur | start: 2063.2sec., end: 2084.8sec.

2: Klavierstunde | start: 2079.1sec., end: 2089.1sec.

1: MVHS ist desto eher nutz ist und | start: 2084.8sec., end: 2092.1sec.

2: deshalb | start: 2091.2sec., end: 2094.0sec.

1: macht die Schwelle, dass es überhaupt genutzt wird. Niedriger totale total überzeugt davon um dies zu benutzen, weil nur wenn ihr das total überzeugt bin, dann lerne dieses hochkomplexe System, sondern es ist halt wenn ihr die Möglichkeit anschauen und was daraus ziehen oder dass sie jetzt in der Programmiersprache lernen oder wird das Gefühl hat, dass es etwas lernen. Indem er glaube ich schon, dass es wichtig ist, dass das einfach ist zu nutzen und genau niederschwelliger Tochter Zugang ist die sharing economy Angebote Hindernis war zumindest derzeit für vielleicht Interesse Kopf todmüde oder sowas anzumelden, aber doch immer an meinem Airbnb ist der Schwiegervater, was halten Sie generell davon, dass er wenn sie wäre die Einstieg bei dir nicht geben würde, die Hintergrund EDF finde ja immer super von den Dingen, also. Widemair entstanden sein, | start: 2092.1sec., end: 2191.3sec.

2: was sie dann wenn diese | start: 2189.5sec., end: 2197.6sec.

1: Konzerne dann immer größer werden und heute im dann die sozial also dieser Tieren reden, wir sind Auswirkungen auf die Wirtschaft der USA und auf das Leben, wenn sie in die Airbnb sind, Wien Denken zu möchte oder heute | start: 2193.3sec., end: 2222.0sec.

2: sind | start: 2220.2sec., end: 2227.0sec.

1: ja sowas muss noch irgendwie politisch begleiten und diese Entwicklungen. Immer hinterfragen und diskutieren, was das heute dann bedeutet, wie dass | start: 2222.0sec., end: 2248.2sec.

2: dies verändert die soziale | start: 2245.7sec., end: 2254.3sec.

1: Funktionen irgendwie | start: 2250.5sec., end: 2259.2sec.

2: will sie das | start: 2254.8sec., end: 2260.3sec.

1: eben bei BMW und alle sonstigen Anbietern oder jetzt neue Sachen dir Markt aufpoppen, dass da die Politiker entsprechend reagiert | start: 2259.6sec., end: 2271.5sec.

2: oder die Gesetzgebung im Prinzip. | start: 2269.0sec., end: 2279.1sec.

1: Habe leider in letzter Zeit nicht so gut verfolgt, warst du singen Wien Überlegungen eben geben heult, wenn sie den Abdruck Eindruck gibt, es muss jetzt in Österreich sein wollen. In Spanien in Barcelona oder so ja, dann nochmals wo er BMW Blockade kann umsonst Sonnen reagiert Wanderwoche | start: 2273.3sec., end: 2309.5sec.

2: zu | start: 2309.3sec., end: 2317.9sec.

1: 100% durch. Die Politik sagt, dann ja, das ist jetzt ein Problem und dann verhindert man das mit angesetzt, aber dann | start: 2309.5sec., end: 2329.7sec.

2: kriegst du trotzdem nun ja vielleicht | start: 2328.0sec., end: 2334.9sec.

1: vermieten dann die Airbnb Besitzer der Wohnungen trotzdem nett, wenn du das irgendwie aber Wertsteigerung hoffen, dass es verkaufen Kindern und | start: 2333.3sec., end: 2347.9sec.

2: So, muss mal kurz gut durchdenken | start: 2347.1sec., end: 2354.8sec.

1: oder reagieren nicht einfach so öffentlichkeitswirksame Maßnahmen, | start: 2352.4sec., end: 2369.9sec.

2: danke schön, | start: 2359.2sec., end: 2370.8sec.

1: gibt's da in den Bereichen irgendwas, was sie dazu sagen wollen, oder was mir einfällt, | start: 2370.1sec., end: 2383.6sec.

2: na, ja. | start: 2374.6sec., end: 2387.7sec.

1: Wie wird eigentlich interessieren, wie | start: 2384.9sec., end: 2391.1sec.

2: wie | start: 2389.0sec., end: 2391.4sec.

1: sieht die | start: 2391.1sec., end: 2394.0sec.

2: Zeit Banken und | start: 2391.5sec., end: 2395.3sec.

