2: Rechnung ist noch ausstehend sie schon ja jetzt | start: 0.0sec., end: 8.9sec.

2: Aspekt, dass es viele Personen gibt, die zwei verbrauchen, aber sich das nicht zu sagen trauen oder dass sie wirklich nicht abschicken, | start: 383.5sec., end: 397.9sec.

1: also ich denke, das ist auch eine Herausforderung gerade die das hat sich jetzt gerade bei der Corona Krise auch gezeigt, wir hatten in einem Deutschland dann die die Impftermine wäre mir alle vier Stufen mit berechtigungs Anspruchsgruppen und die ersten Gruppen dann halt die wirklich chronisch und stark Kranken und in dem hohen Alter betagt, die bekommen dann für den Impftermin eine SMS bzw. Eigentlich eine. Daten message wo dann halt ein Link ist, aber weniger haben oder nicht alle ein Smartphone und das aufzurufen und dann fahre ich ihr dann halt z.b. Auch immer im Fernsehen, wo er dass er hatte, ich habe jetzt eine sms https und lies das vor und weiß nicht, was er machen soll. So und das ist halt genau auch die Herausforderung das Angebot an die Nutzer heran zu tragen, weil wenn jetzt jemand vielleicht nicht Computer erschienen ist und sich damit beschäftigt oder auch nicht mehr Familie Umfeld hat, die sich so ein bisschen drum kümmern und das in die richtige Bahn lenken wird schwierig werden, die auch zu erreichen und da es glaube ich auch so eine Mischung des Marketings sage ich jetzt mal, wie man die Zeit beim platziert von Social Media um die Aktiven die Anbieter zu erreichen, weil das sind eher jüngere Menschen darüber bekommen auch noch die Silver Surfer die Generation letztendlich noch, die sich damit jetzt aktiv auseinandersetzt und auf Facebook unterwegs sind, aber man muss auch über Wie kommt man ja, wieso heißt es in der Politik die Basis ran, wie gehe ich irgendwie vor Ort mit Postwurfsendung in vorstellen oder in Seniorenheim Einrichtung, dass man die halt auch wirklich dann so Tage Zeit Bank zum Nutzer persönlich kommt und sich vorstellt, | start: 396.6sec., end: 507.5sec.

2: wenn man davon ausgeht, dass wir viele ältere Personen dabei sind, die es nicht so wirklich Computer affin sind, wie würden Sie sich am besten vorstellen, dass so eine Zeit lang aufgebaut wird vom technischen Aspekt heraus, was meine Webseite hat, wo man dann direkt nach will versuchen kann oder von der Verwaltung Sicht haben sie da für den | start: 500.2sec., end: 532.5sec.

1: ich denke, das ist sind auch vielleicht zwei oder drei Säulen, auf dem man das aufbaut, ich kann sie jetzt prozentualen ich Gewichten, aber ich glaube der größte Anteil wär halt eine Website mit einem geschützten Bereich, wo? Gefragt Leistung und Angebote genannt werden, wo es vielleicht auch sogar eine App existiert, dass man das auf dem Smartphone buchen und vereinbaren kann und wenn ihr angenommen ich als Leistungserbringer zu gemeinhin fahr man das auch gegenseitig in der App bestätigt, ich bin hingefahren und der andere war da und dann ist quasi das Guthaben transferiert worden. Das erreicht wieder nicht alle, jetzt müsste man sich die Zahlen anschauen, wie viel Prozent in welchen Altersgruppen haben, Smartphones und Zugang zum Internet, das ist steigend in den letzten Monaten oder auch via letzten 2-3 Jahren nichtsdestotrotz müsste man da auch eine Lösung finden, den das zu erleichtern oder zu ermöglichen ein Ansatz wie manche Zeit Bank in meinen Untersuchung Arbeiten sind, dann in welche Papierformulare wie so ein Quittungsblock dem man mitnimmt und unterschreibt, aber der muss dann bald wieder an die Zeit Bank zurück. Da muss erfasst werden. Papier ist geduldig. Papier kann verlorengehen. Salzmann müsste irgendwie Gucken, ob es vielleicht auch möglich ist, das dann den Leistungserbringer nehmen wir mal die App zu dem Kunden jetzt hinfährt, der die Leistung bezieht und dass der vielleicht auch auf dem Display unterschreibt und dass damit dann bestätigt, also, dass man dann diesen Weg verkürzen hat, ok, du hast vielleicht nicht die app, du hast kein Smartphone, aber du kannst ja kurz gegenzeichnen und dann ist diese Unterschrift war sie die eine besteht oder mit einer PIN Passwort was Passwort kann man wieder vergessen Unterschrift, wer das beste aber eine Gefahr wird, denke ich zweigleisig zu fahren, also, wenn man jetzt wirklich zatoki, man macht analog auf Papier, um die zu erreichen, das steht er man aus und dann den Turnaround den das den change hinzubekommen, dass wieder umzustellen. Das wird dann schwierig mit | start: 528.5sec., end: 653.0sec.

2: Sicherheit, dass er sich halt der Daten, wenn man sich wirklich technologisieren würde, | start: 648.5sec., end: 659.1sec.

1: Europa Datenschutzgesetze und ob jetzt datenschutzgrundverordnung. Ein Gramm und genauso auch nach den ISO-Normen Internetsicherheit medien-sicher die SMS muss halt auch gewährleistet sein, es ist halt die Frage klar sind persönliche Daten hinterlegt, das muss geschützt sein. Es sind jetzt keine Patienten oder hochsensiblen Daten mit drinnen, aber was das angeht. Muss natürlich sind jetzt übers Netz verfügbar. Ist halt auch wirklich abgesichert sein, | start: 655.9sec., end: 691.2sec.

2: kennen Sie die Technologie blockchain gebracht, weil sie wirklich die Zeit hast darin investiert wird ist er ein wertvolles Gut im Prinzip wäre es angebracht ist wirklich auf so Technologie China zulegen oder ist es zu aufwändig? Für das was es braucht, | start: 688.3sec., end: 712.2sec.

1: denke ich nicht, also jetzt nach Bitcoin, der dem Urvater der kryptowährung und der blockchain kam mir dann noch verschiedene andere, ob man jetzt auch ist hier. Wir haben aus Russland nimmt die ja sogar Open Source sind wo jeder die Möglichkeit hat. Quasi eine eigene blockchain und contract Smart contracts drauf zu programmieren, die Firma Alibaba in China ist ja eins der größten lokalen Unternehmen dort. Der Firmengründer hat halt auch gesagt, er möchte Zeitbank und Zeitguthaben Verwaltung in der blockchain realisieren und das war ich glaube vor knapp einem Jahr kam die Pressemitteilung auch raus. Da ist natürlich dann immer die Frage setzt man auf eine bestehende Geschichte und wie ist es mit Asien? China sind da irgendwo Lücken, also, wenn man es jetzt aus deutsch europäischer Sicht sieht, oder macht man was Eigenes auch draußen, aber es wäre natürlich eine super Möglichkeit, dass es dann dezentral ist und sich gegenseitig Halt die Eintragung auch bestätigt werden absolut, also das wäre auch ein guter Weg. War einiges lässt sich ja von der Usability so aufbauen, dass für den Nutzer ja nicht erkennbar Shops in der blockchain ist oder woanders. | start: 710.4sec., end: 784.4sec.

2: Bestimmt bestimmt mich auch schon zur nächsten Frage. Usability gibt es irgendwelche Apps, wo sie sagen, die sind vom Aufbau her so gut gemacht und würden sich auch in sowas also vergleichbar mit Zeitmarken, dass man sie wirklich am besten nutzen könnte, oder welche Funktionen besser gesagt bräuchte, man da drinne | start: 783.4sec., end: 805.4sec.

1: vergleichbare Apps ist schwierig. Ich weiß, es gibt natürlich web-basierte Zeitbank Verwaltungsprogramme auch aus dem amerikanischen Bereich. Die entsprechend ja niedrige bis hohe monatliche Kosten mit sich bringen, da ist immer die Frage, wenn die abgestellt, dann wären wir wieder bei der blockchain, wo sind die Daten und was macht man dann also ein vergleichbares Produkt habe ich bis jetzt noch nicht gesehen und gefunden im Kontext der Zeitbank, wenn man jetzt aber wünsch dir was spielen könnte sagt diskreditieren sowas, wir haben Programmierer am Start und setzen uns man einen Tisch und Brainstorm das ganze dann sind es halt ja Faktoren. Bereiche derjenige muss aber klar seine persönlichen Daten ändern und anpassen können. Muss jederzeit ja ja realtime sehen können, was er an Guthaben hat auch auch das ist wie bei einem Girokonto zu und Abgänge drin sind und auch von wem sie erbracht worden sind auch mit welcher Leistung das gleiche auch auf der aktiven auf der Leistungserbringer Seite und es muss auch ganz klar, die hat dir die Plattform, also das biete ich an, dass ich meine Leistungen also so eine Art Marktplatz, dass ich ihn hinstellen kann, das möchte ich erbringen und dass ich als Nutzer Schrank hat er ok, ich brauche jetzt gartenführer der Klavierunterricht für meine Tochter ein Mensch, da ist jemand und dann buche ich das auch, also der Buchungsprozess sollte auch gleich drin, dass es an sich eine one hand in one device Lösung ja alles in einer Geschichte drin so dass man gar nicht noch mit Formularen oder die dafür müssen sie auf die Website gehen, aber da müssen sie anrufen. Und ganz wichtig natürlich auch da mit der persönliche Kontakt über die Leistungserbringung geht auch so eine Art News meet and greet lokale Veranstaltungen Gruppen. Also, dass man halt auch so eine Art Kalenderfunktion Datum auch ja kommt drauf an, wie man die Fall die Bank macht als Vereinsleben nenne ich jetzt mal oder das zeitband leben die Community noch hat | start: 803.0sec., end: 927.9sec.

2: ja am Vereinsleben ist jetzt auch wieder so ein ganz guter merkt, dass vor allem jetzt in Zeiten des Ehrenamts und eine extrem wichtig sind auch ganz viel Beitrag an die Kinder Gesellschaft leisten und nicht für die Generationen, wie kann man das vergleichen mit einer Zeit Bank bzw. Was sind davor noch deine und könnte man es vielleicht sogar kombinieren? | start: 927.0sec., end: 959.8sec.

1: Es kommt ja drauf an, wie man die Zeit beim aufbaut, also, wenn wir es jetzt im Moment Bereich nehmen sind die meisten zeitbanken ja eingetragene Vereine, was ja auch steuerliche Gründe hat, was Gemeinnützigkeit Spendenbescheinigungen auch angeht und die Freistellung von weiteren Abgaben weißt ja zur Förderung des Allgemeinwohls oder des Vereins Zweckes ist und demnach wäre ja auch schon eigentlich die Vereinskultur mit drin, weil das Vereinsrecht ja auch gewisse Statuten hat und das ganze institutionalisiert und zatoki, ihr braucht mindestens die Vereinssitzung gebraucht diese 11 Personen in deutschen heißes treffen sich 11. Ja, die Ansagen gespielt Fußball. Die anderen sagen sie Gründen Verein, aber das kommt dann halt irgendwo auch mit klar und Corona hat seid auch gezeigt klar. Vereins treffen sind jetzt auch schlecht. Die müssen auch online abgehalten werden oder Alternativen gefunden werden mit schutzkonzepten Abstand Regeln, was da alles zugehört, wobei es ja auch jetzt immer wöchentlich anders wieder ist, aber letztendlich ist es. Ja, eine Community eine Gemeinschaft die dort um den Zweck der der ja Fürsorge des Helfens des Absichern des vor sonst oder auch einfach der Beschäftigung, ich möchte eine Aufgabe haben und irgendwas Gutes tun oder meine Zeit sinnvoll investieren sind ja nicht alle die sagen ich mache es war ich später davon mich derart sicher möchte und die nachdem wenn man es jetzt andere Ansatz wäre, das als Genossenschaft zu machen, dann wäre es ein bisschen kleiner, dann kann man auch sagen, das ist dieser Vereins Charakter raus, aber alle die Mitglied der Zeit Bank Genossenschaft sind sind auch gleichzeitig mit Teilhaber ja von der Geschichte, da muss man dann schauen, dass man dieses gesellschaftliche Community getankt Vereinsleben in Anführungszeichen jetzt Vereinsleben irgendwie trotzdem platziert oder fördert oder Mechanismen findet das? Das trotzdem stattfindet, sonst wird nachher so eine anonyme Privatfirma, also könnte sein Charakter bekommen, | start: 953.7sec., end: 1097.1sec.

2: sie hat schon einmal ganz mehrere Male schon angesprochen. Die Kosten die ja sowieso keiner Zeit mitzukommen gibt's jetzt irgendwie Werterhalt erhält zu einer Zeit Bank am Leben, oder wie können die Kosten am besten abgedeckt werden? | start: 1091.9sec., end: 1117.5sec.

1: Das ganze möglichst schlank, also gibt ja nun genug Veröffentlichung in den letzten Jahr über lean Konzept lean project management und lean Startup man hat wirklich schon satt. Ok Büroräume braucht man das und wenn weiß nicht in der Wohnung geht und man zentral weiter auf verschiedene Personen oder Publikumsverkehr, wie kriegt man es möglich, also Fixkosten möglichst 0 oder ganz weit und Halten klar, man braucht eine Anschubfinanzierung, weil es müsste ja schon vielleicht noch Software computerdrucker Flyer und irgendwie so eine erstmal die Initiative bekannt gemacht werden, wenn man intelligent anstellt kriegt man vielleicht irgendwo in die Stadt in der Region würde oder irgendwie einen Geldgeber mit an Bord der Saat ok werden Würstchen was auch immer Summe 5010 und einfach mal das voranzubringen, weil wir das Konzept gut finden und dann ist es natürlich da dran, wie in jedem Unternehmen auch, dass man gibt genug Vereins Pleiten auch das man schaut, das man je nach Form entweder Spenden irgendwie generiert und einfach den Sinn und Zweck, der in der Gesellschaft platziert und natürlich ist es ja auch so das ja von jeder Stunde, die transferiert wird. Wird ja auch immer ein Verwaltungs, also in der Regeln verwaltungskostensatz eingehalten, von entweder als ich 50 Cent oder eine neu. Euro umgerechnet oder X Prozent von der Zeit die dann wieder monetarisiert werden, weil man könnte ja auch die Leistung z.b. In ein Seniorenheim verkaufen sein. Hey, ihr wollt irgendwie Spiel Gesellschaftsspiel Gruppe oder so machen wir betreuen. Das ganze muss ich 3 Stunden dafür zahlt ihr dann halt X Euro und dann kommt halt auch Geld ran. Die Stunden werden aber auch wieder der Leistungserbringer freut sich. Er kann Leistung erbringen. Die Zeit Bank nimmt Geld ein, dass wir unser Ausnahme Geschichten zur zur Refinanzierung dann | start: 1114.1sec., end: 1239.9sec.

2: sehen Sie das von der Regionalität her bzw. Wie stark überregional kann seine Zeit Bank Wirtschaften oder bestehen? | start: 1234.5sec., end: 1248.5sec.

1: Tja da ist aber da ist die Frage denn sie jetzt gucken, wir haben die Zeit Bank 55plus die auf der dich mir so im südwestlichen Bereich Deutschlands unterwegs und T. Dich ist, ich bin der Überzeugung, wenn man es richtig aufbaut und wenn es eine Gruppe oder eine Person oder eine Institution schafft und sagt, wir machen eine Art ja, Dachverband europäischer Dachverband der Zentralbanken als Beispiel, wo ein Erfahrungs Ausstellung stattfindet, dann könnte ich mir auch vorstellen wie bei Banken letztendlich das auch, wenn es einzelne Untergruppen sind. Solange man sich auf einen System oder irgendwie eine Verrechnung ja verständlich, dass es auch nicht nur regional in der kleinen Gemeinde oder Landkreis möglich ist, sondern dass ich jetzt z.b. Keine Ahnung meine Eltern leben in München und ich in Hamburg ich erbringen meine Leistung hier in in Hamburg für Hilfesuchende meine Eltern brauchen Hilfe in München, ich überweise den das oder Buch den das und es wird dann von einer lokalen Zeitbank im Schon erbracht, also so eine Art fial Geschichte ist muss nicht alles von einer Person oder Institution kommen, aber man muss halt versuchen, dass alle bestehenden irgendwann bist du eine gewisse kritische Masse erreicht wird an einen Tisch bekommen, die sagen hey, das macht Sinn, weil klar Gemeinde Hintertupfingen hilft sich irgendwo, aber ist ihm ja auch Leute welche und was ist mit dem Guthaben dann das kann ich ja gar nicht mitnehmen und das ist auch nichts Neues in Japan und China, da kann man die Zeit beim Guthaben quer durchs Land und teilweise gibt sogar Anschlüsse, da hatte ich jetzt gelesen China Australien Neuseeland, also sogar ja global. | start: 1246.7sec., end: 1368.1sec.

2: Verkäufer welche welche Einsatzgebiete gibt es in einer Zeit Markus und Valentin ganz kurz drüber gesprochen, dass es nicht nur ältere Menschen sind, was sind so so typische Aktionen, die man machen könnte, oder was darüber hinaus noch geht | start: 1366.4sec., end: 1382.6sec.

1: ja, alles was häusliche Hilfe angeht, aber nicht in irgendwelche Berufskategorien fällt Dir ja, wieso ansagen zulassungspflichtig habe das nicht das richtige also z.b. Elektriker Handwerk Dienstleistung, das hat auch immer was mit Haftung am Ende dann zu tun kleine Glühbirne mal reinschrauben, das ist was anderes als dann neue Steckdosen verlegen, aber also alles was so Haushalt haushaltsnahe Dienstleistung Treppenhausreinigung was auch immer einkaufen gehen, dann kommt so ein Streit Gebiet in Deutschland dazu der Sensor diese Fahrt Services, also ältere Dame muss zum Arzt hat kein eigenes Auto lässt sich fahren. Das ganze ist ja aber eine Person befördern, also bräuchte man ein Personenbeförderungsschein da müssten halt in Möglichkeiten oder Regelung auch gefunden werden, dass da niemand haftbar oder angreifbar dann auch wird, aber es muss auch nicht im Bereich der älteren sein, dass es kann auch sowas sein wie Kinder Baby sitting, also, warum soll ich jüngere Menschen wo die Mutter berufstätig oder wo Termine reinkommen, warum soll ich mir einen kindersitter für Geld kaufen, wenn ich es einfach über Zeit Bankguthaben tauschen kann können Urlaubsbegleitung sein Spiel armesca Nike Sachen sein hier, ich habe neues Laptop, ich möchte mit meinem Enkel in Corona gerne zum Geburtstag feiern, aber ich keine Ahnung wie das funktioniert, ich brauche da irgendwie MS Teams, was ist das so? Also sowas kann halt auch alles möglich sein bis hin zu ich hatte jetzt auch einen Fall gelesen, wo nur ist halt Rechtsberatung, also es darf ja er ist ja auch voll gelassen. Volljurist aber halt so Sachen wie Steuererklärung, was du Lohnsteuer Hilfe Vereine machen eigentlich es gibt fast nichts los, außer wenn es hat das Gesetz habe ich oder indirekt medizinische Leistung wäre auch rausfallen klar und wo was man meiden sollte meiner Meinung nach sind halt auch so körpernah Dienstleistung, also sowas wie Massagen nagelservice ist Friseure, weil man dann dieses Gewerbe haltet den Unmut auch auf sich zieht bei der sagen jetzt kommen derzeit Bank, ich tausche es mit Guthaben unser Berufsstand könnte in Gefahr geraten, wenn entsprechende Größe nachher hat. Also da muss man so ein bisschen gucken, dass man da dass er ausschließt | start: 1381.5sec., end: 1534.5sec.

2: sicher am Arbeitsmarkt an sich ein geht endlich der Digitalisierung und auch generell fahren, jetzt gibt's ja relativ viel, dass sich am Arbeitsmarkt ändern. Was hat sich da am meisten verändert bzw. Was wird sich ihrer Meinung nach am meisten verändern in den nächsten Jahren? | start: 1524.8sec., end: 1559.3sec.

1: Naja, die die Menschheit träumt er immer schon noch so von ihrer damals war's, ne? Von 48 auf 40 Stunden hat man die 37 Stunden Woche jetzt ist die Wii 24 bis 35 Stunden Woche irgendwo so im Fall als Fixstern, wann wird's nicht erreichen, weil einfach da zu viel Arbeit dehnt sich halt auch aus aufwändig Italy siert wird, aber was ich ändern wird. Ist halt dass diese ganzen Präsenz Geschichten, also Corona waren guter Inputfaktoren Anstoß Stein des Anstoßes was Homeoffice angeht, das digitales arbeiten und Konferenzen angeht, also die Freiheit Zeit anders nutzen zu können, wird sich ändern, weil Nicht mehr nine-to-five oder so das Büro hat sondern Teil aus dem bisschen switchen kann die Stundenreduzierung glaube ich, wird nicht eintreten, dass es war immer so ein Modell 2 Tage arbeiten Tag frei zwei Tage arbeiten Wochenende, das wird schwierig, das kann halt nicht die Breite Gesellschaften machen, dafür gibt's zu viel Grundsicherung Leistungen erbracht werden, aber ich denke schon, die die Flexibilität der Zeiteinteilung das auch mehr zu Hause sein oder halt auch die Anforderungen flexibler in der Arbeit an zu kommen, also ad-hoc auf Anfrage oder jetzt ist du wir brauchen und dafür halt auch eine gute Möglichkeit für eine Zeit lang unterstützen. Kann | start: 1554.9sec., end: 1653.5sec.

2: jeden Fall welche Bereiche könnten digitalisierter werden, also doch Technologie im Prinzip ersetzt werden auch. | start: 1651.1sec., end: 1667.2sec.

1: Ja, genau durch Technologie ersetzt, also alles was das Wissen Gewerbe angeht, also tertiärer Sektor letztendlich die Wissensarbeiter halt klar, das lässt sich durch KI sehr viel automatisieren, wenn man auch in den Gesundheitsbereich guckt, wo Befundung aus MRT Röntgen von Computern vor interpretiert werden und muss dann halt ok das jetzt eher ne Abweichung, da muss noch mal menschlicher Kollege draufschauen, ich gehe davon aus, es ist keine Wegrationalisierung sicherlich wird in umshiften stattfinden das vielleicht auch Leute Jobs verlieren werden, das war auch damals als man von Stückgut im Hafen Hamburg Hafenstadt, da sind ganz 100 er arbeitslos geworden, weil nicht mehr. Säcke rein geschmissen, also es kann der Seecontainer und der hat Jobs gekillt, aber sie konnte jeder müssen bewegt werden, genauso wird es auch immer Ersatz gehen, solange lebenslanges Lernen oder jemand bereit ist sich zu ändern, also Wissensarbeit ist der ganze Medizinbereich Krankenhaus Bereich, die selbst macht des Patienten, also das mal was sagt, ich habe meine Patientenakte auf einer Chipkarte oder in einer App gesichert und ab alle Befunde da ich kann dann damit auch zu einem anderen Arzt gehen bin ich abhängig. Da wird Digitalisierung auch greifen und auch produktionsgewerbe, also wenn Sie sich jetzt mal die Tesla gigafactory anschauen so als leuchtender Stern. Mercedes ist auch gut unterwegs, was das angeht. Sind ja nur noch Roboter. Da kommt die fertigen Autos fast von alleine raus, also auch das produktiv Gewerbe. Also da wird auch einiges sein, dass es wird wahrscheinlich keine Fabrik am Ende sein, wo man nur noch ein Knöpfchen trägt und geht dann nach Hause und die Macht alles machen. Klar, der Mensch wird immer dabei sein, aber Alterspyramide ist ja demografischer Wandel, wir haben ja jetzt schon Führungskräfte und Fachkräftemangel. Also es gleicht sich damit dann denke ich aus | start: 1666.2sec., end: 1800.2sec.

2: hoffentlich irgendwas, was man definitiv nicht digitalisieren sagt, | start: 1798.4sec., end: 1808.5sec.

1: alles was zwischenmenschliche Beziehung erfordert, also Japan hat den Ansatz ja mit diesen Pflegeroboter, die sind auch Knopf, ich habe mir da auch mal die anderen Videos angeschaut ist wirklich ja herzallerliebst, aber es ist halt es ist ein Roboter der vielleicht menschliche Züge hat, der bei gewissen Grund Sachen auch helfen kann, aber es ersetzt nicht das persönliche Gespräch oder einfach wir sind wir sind Sozialwesen und auch was ich Altenbetreuung Kinderbetreuung Schule man kann. Sicherlich Hybride Lösung draus machen, wo Digitalisierung und online Geschichten Rolle spielen, aber es wird es nicht ersetzen können genauso Aufführung, also klar werden Vorgaben, dass ich höhere Produktivität geringere Ausschuss weniger Fehler und so weiter können gut geschmeckt und gelenkt werden von den Maschinen aber letztendlich die Dinos und also wenn sie sich mit Unternehmenskultur auch als Beispiel seerosenmodell oder sonstiges ja, die die Glaubenssätze, das kann eine Maschine nicht interpretieren. Brauchst schon Mensch, der dann den den Kontext draußen hin und satt ok so und so läufts, da müssen wir jetzt mal eine andere Strategie fahren wird das auch nicht ersetzen können. Es wird digitalisiert oder Computer können unterstützen, aber am Ende muss denke ich immer noch der Mensch das dann entscheiden. | start: 1806.3sec., end: 1906.8sec.

2: Den sozialen Bereichen das mal wirklich auch soziale Wesen sind da Mensch selber gibt's irgendwas, was sie jetzt in den letzten Jahren oder auch was sie in den nächsten Jahren gesellschaftlich verändern wird, das ein Trend, den man beobachten kann man wenn Sie persönlich beobachtet haben | start: 1906.1sec., end: 1930.4sec.

